Taxa	phe1	phe2	phe3
Ind202	241.8321496	112.2235409	50.48868302
Ind203	285.4409496	140.7117409	53.64938302
Ind204	246.6528496	102.6331409	52.05408302
Ind205	218.4901496	94.45424095	54.24798302
Ind206	269.4398496	143.3682409	53.80888302
Ind207	283.7833496	136.2055409	54.67378302
Ind208	275.5090496	135.9156409	54.36728302
Ind209	275.9864496	130.5118409	55.08738302
Ind210	302.8566496	148.3823409	54.60658302
Ind211	284.8181496	132.4343409	51.10638302
Ind212	287.2769496	141.7937409	54.37518302
Ind213	300.2475496	133.0519409	54.52678302
Ind214	302.9532496	135.6410409	53.64938302
Ind215	291.2443496	149.9649409	55.96258302
Ind216	297.4903496	142.3172409	56.07398302
